Name,Position,Rating,ID,Improved
abe,ATK,93,279150344762556426,1
BEAST,ATK,89,136705898818043904,-1
k1eran01,ATK,88,168335065762365442,-1
Jay-,ATK,87,189131360391135233,0
vinicius,ATK,86,765987081159311361,1
smasher,ATK,85,455295915238883328,-1
Aguero,ATK,85,237347593355526145,2
Tarik,ATK,84,882500705879986206,-1
squid,ATK,84,576712355803693088,1
borgar,ATK,84,150999652643241984,100
srv,ATK,83,323501555259277324,0
wex,ATK,83,941130272991215647,0
BagOBread,ATK,83,934681274159874099,1
Fic,ATK,81,353587394114748416,-1
Tyreese,ATK,81,316197234956042240,1
seiza,ATK,81,661070147938943008,1
poke,ATK,80,335833463833755658,-1
chaperz,ATK,79,389434873019891712,-1
Reinaldo,ATK,78,600268783373778954,-1
LED TRAORE,ATK,78,239191648758792194,0
SkippyTheOtter,ATK,77,342334121684631553,-1
K1NCHENKO,ATK,77,709575534094319698,0
Pisco,ATK,77,681609018032390155,1
imkebab,ATK,75,542335286030499840,100
brigo,ATK,75,723509903637086259,0
Hibber,ATK,74,503192546109947915,0
Doga,ATK,73,525825513948708880,0
Maximiano,ATK,72,606072061638475813,0
PalitoGuerrero,ATK,71,809616999410827294,-1
Cliq,ATK,69,666654045011968003,0
Guille2610,ATK,69,307329594942291968,1
kerv,ATK,66,1000708836430184538,-1
ghxst,ATK,65,539558994671435776,0
Fallen,MID,95,232186503462125569,-1
Krythx,MID,92,328327734101147661,2
mamastroso,MID,86,614911285523382273,0
meany,MID,85,133404067564224512,0
xero,MID,85,670429935705260074,0
Evaniskus,MID,85,142148137828614144,2
LagHank,MID,82,133083411270205440,-1
MDB,MID,80,642265985084293120,-2
Declan,MID,80,135851851147902976,1
Liam,MID,77,542805110959505420,0
SRVIOLATOR,MID,69,672283577185992732,0
Dog123,MID,69,894729063418200074,1
Cristiano,MID,68,659987186782830623,1
slicer,DEF,93,264265077325168642,1
glade,DEF,87,206815167751651329,-1
danielm,DEF,86,239127759392210945,1
shaq,DEF,85,464590153994731561,-1
stefs,DEF,85,319962825374040080,0
roby,DEF,85,159858841973030913,1
Chooky,DEF,84,188522891841634305,0
R0D,DEF,83,337698860635783180,0
JASON VOORHEES,DEF,82,443164857546833940,0
NonTooken,DEF,80,395812931838803969,3
Magisco,DEF,78,648538836195868682,1
playdo,DEF,77,278008420777459712,-1
Entz,DEF,77,901939448009351188,-1
Jumbo,DEF,76,198969918891360267,-1
sk00pa,DEF,75,228235183692840960,-1
Rarecord,DEF,75,587057206961373184,5
Richie,DEF,74,663226812955885610,-1
Pika,DEF,74,288427427611410432,-1
skuza,DEF,72,530065708554387456,-1
Cian,DEF,71,277861521130913803,-1
GustavAhr,DEF,70,856951259826880572,-1
Tomas,DEF,70,688429519794995208,1
Papul,DEF,69,386952774253936640,0
niko,DEF,67,306589243298414612,-1
Alfy,DEF,66,415635922214846464,1
SkyyNet,GK,91,199463511007559680,0
Anthony_3176,GK,83,449535500861177866,-2
orCheese,GK,81,267487135873892352,-2
pyros,GK,81,275085373527293963,1
Gioforkya,GK,78,318081724426878976,-2
MYAAAR!,GK,75,117678255540011008,-1
Joshua19,GK,73,741012039744618496,-1
gmann9319,GK,69,419935439957524501,1